Sample,Gigabases
3532_R1_001.fastq,11.792
3532_R2_001.fastq,11.792
3533_R1_001.fastq,13.988
3533_R2_001.fastq,13.988
4027_R1_001.fastq,13.118
4027_R2_001.fastq,13.118
4028_R1_001.fastq,11.202
4028_R2_001.fastq,11.202
4033_R1_001.fastq,10.78
4033_R2_001.fastq,10.78
4034_R1_001.fastq,13.032
4034_R2_001.fastq,13.032
4112_R1_001.fastq,12.885
4112_R2_001.fastq,12.885
4113_R1_001.fastq,13.217
4113_R2_001.fastq,13.217
4315_R1_001.fastq,11.731
4315_R2_001.fastq,11.731
4316_R1_001.fastq,12.157
4316_R2_001.fastq,12.157
4340_R1_001.fastq,12.021
4340_R2_001.fastq,12.021
4341_R1_001.fastq,12.111
4341_R2_001.fastq,12.111
