HGNC ID	Approved symbol	Approved name	Status	Locus type	Previous symbols	Alias symbols	Chromosome	NCBI Gene ID	Ensembl gene ID	Vega gene ID	Group ID	Group name
HGNC:37133	A1BG-AS1	A1BG antisense RNA 1	Approved	RNA, long non-coding	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569	19q13.43	503538	ENSG00000268895	OTTHUMG00000183508	1987	Antisense RNAs
HGNC:27057	A2M-AS1	A2M antisense RNA 1	Approved	RNA, long non-coding			12p13.31	144571	ENSG00000245105	OTTHUMG00000168289	1987	Antisense RNAs
HGNC:41022	A2ML1-AS1	A2ML1 antisense RNA 1	Approved	RNA, long non-coding			12p13.31	100874108	ENSG00000256661	OTTHUMG00000168273	1987	Antisense RNAs
HGNC:41523	A2ML1-AS2	A2ML1 antisense RNA 2	Approved	RNA, long non-coding			12p13.31	106478979	ENSG00000256904	OTTHUMG00000168274	1987	Antisense RNAs
HGNC:50301	AADACL2-AS1	AADACL2 antisense RNA 1	Approved	RNA, long non-coding			3q25.1	101928142	ENSG00000242908	OTTHUMG00000159877	1987	Antisense RNAs
HGNC:39983	ABCA9-AS1	ABCA9 antisense RNA 1	Approved	RNA, long non-coding			17q24.2	104355297	ENSG00000231749	OTTHUMG00000140370	1987	Antisense RNAs
HGNC:40055	ABCC5-AS1	ABCC5 antisense RNA 1	Approved	RNA, long non-coding			3q27.1	100873982	ENSG00000223882	OTTHUMG00000156870	1987	Antisense RNAs
HGNC:49685	ABHD15-AS1	ABHD15 antisense RNA 1	Approved	RNA, long non-coding		linc-TP53I13, lnc-TP53I13	17q11.2	104355133	ENSG00000264031	OTTHUMG00000179722	1987	Antisense RNAs
HGNC:55674	ABR-AS1	ABR antisense RNA 1	Approved	RNA, long non-coding			17p13.3	105371479	ENSG00000235361		1987	Antisense RNAs
HGNC:40701	ACBD3-AS1	ACBD3 antisense RNA 1	Approved	RNA, long non-coding		RP11-275I14.4	1q42.12	107985353	ENSG00000234478	OTTHUMG00000041339	1987	Antisense RNAs
HGNC:41112	ACOXL-AS1	ACOXL antisense RNA 1	Approved	RNA, long non-coding			2q13	400997	ENSG00000204581	OTTHUMG00000153643	1987	Antisense RNAs
HGNC:40227	ACSL3-AS1	ACSL3 antisense RNA 1	Approved	RNA, long non-coding			2q36.1	105373904	ENSG00000234193	OTTHUMG00000153390	1987	Antisense RNAs
HGNC:40772	ACSL6-AS1	ACSL6 antisense RNA 1	Approved	RNA, long non-coding			5q31.1	101927693	ENSG00000223548	OTTHUMG00000059638	1987	Antisense RNAs
HGNC:45169	ACTA2-AS1	ACTA2 antisense RNA 1	Approved	RNA, long non-coding		uc001kfo.1, ZXF1, UC001kfo	10q23.31	100132116	ENSG00000180139	OTTHUMG00000018703	1987	Antisense RNAs
HGNC:53965	ACTR3-AS1	ACTR3 antisense RNA 1	Approved	RNA, long non-coding		AC104653.1	2q14.1	101060091	ENSG00000228857		1987	Antisense RNAs
HGNC:44161	ACVR2B-AS1	ACVR2B antisense RNA 1	Approved	RNA, long non-coding			3p22.2	100128640	ENSG00000229589	OTTHUMG00000156031	1987	Antisense RNAs
HGNC:56152	ADAM7-AS1	ADAM7, ADAMDEC1 and ADAM28 antisense RNA 1	Approved	RNA, long non-coding			8p21.2	101929294	ENSG00000253535		1987	Antisense RNAs
HGNC:56153	ADAM7-AS2	ADAM7 antisense RNA 2	Approved	RNA, long non-coding			8p21.2	101929315	ENSG00000253643		1987	Antisense RNAs
HGNC:40797	ADAMTS19-AS1	ADAMTS19 antisense RNA 1	Approved	RNA, long non-coding		RP11-346A9.1	5q23.3	103689846	ENSG00000249421	OTTHUMG00000163040	1987	Antisense RNAs
HGNC:40625	ADAMTS9-AS1	ADAMTS9 antisense RNA 1	Approved	RNA, long non-coding			3p14.1	101929335	ENSG00000241158	OTTHUMG00000158723	1987	Antisense RNAs
HGNC:42435	ADAMTS9-AS2	ADAMTS9 antisense RNA 2	Approved	RNA, long non-coding			3p14.1	100507098	ENSG00000241684	OTTHUMG00000158725	1987	Antisense RNAs
HGNC:32041	ADAMTSL4-AS1	ADAMTSL4 antisense RNA 1	Approved	RNA, long non-coding	C1orf138	FLJ45786	1q21.2	574406	ENSG00000203804	OTTHUMG00000034866	1987	Antisense RNAs
HGNC:40895	ADAMTSL4-AS2	ADAMTSL4 antisense RNA 2	Approved	RNA, long non-coding			1q21.2	100289061	ENSG00000237781	OTTHUMG00000034864	1987	Antisense RNAs
HGNC:23299	ADARB2-AS1	ADARB2 antisense RNA 1	Approved	RNA, long non-coding	C10orf109, NCRNA00168	bA466B20.1	10p15.3	642394	ENSG00000205696	OTTHUMG00000017542	1987	Antisense RNAs
HGNC:48682	ADD3-AS1	ADD3 antisense RNA 1	Approved	RNA, long non-coding			10q25.1	100505933	ENSG00000203876	OTTHUMG00000019028	1987	Antisense RNAs
HGNC:49543	ADGRA1-AS1	ADGRA1 antisense RNA 1	Approved	RNA, long non-coding	GPR123-AS1		10q26.3	100128127	ENSG00000256925	OTTHUMG00000019301	1987	Antisense RNAs
HGNC:53314	ADGRD1-AS1	ADGRD1 antisense RNA 1	Approved	RNA, long non-coding		LACAT8	12q24.33	105755954	ENSG00000256151	OTTHUMG00000168346	1987	Antisense RNAs
HGNC:40864	ADGRF5-AS1	ADGRF5 antisense RNA 1	Approved	RNA, long non-coding			6p12.3	101926962	ENSG00000225730	OTTHUMG00000014794	1987	Antisense RNAs
HGNC:55309	ADGRL1-AS1	ADGRL1 antisense RNA 1	Approved	RNA, long non-coding			19p13.12	100507373	ENSG00000267169		1987	Antisense RNAs
HGNC:50604	ADGRL3-AS1	ADGRL3 antisense RNA 1	Approved	RNA, long non-coding	LPHN3-AS1		4q13.1	101927186	ENSG00000248692	OTTHUMG00000160691	1987	Antisense RNAs
