hgnc_id	symbol	name	locus_group	locus_type	status	location	location_sortable	alias_symbol	alias_name	prev_symbol	prev_name	gene_group	gene_group_id	date_approved_reserved	date_symbol_changed	date_name_changed	date_modified	entrez_id	ensembl_gene_id	vega_id	ucsc_id	ena	refseq_accession	ccds_id	uniprot_ids	pubmed_id	mgd_id	rgd_id	lsdb	cosmic	omim_id	mirbase	homeodb	snornabase	bioparadigms_slc	orphanet	pseudogene.org	horde_id	merops	imgt	iuphar	kznf_gene_catalog	mamit-trnadb	cd	lncrnadb	enzyme_id	intermediate_filament_db	rna_central_ids	lncipedia	gtrnadb	agr	mane_select	gencc
HGNC:22218	ERV3-2	endogenous retrovirus group 3 member 2	other	endogenous retrovirus	Approved	7q33	07q33	KIAA1466			endogenous retrovirus group 3, member 2			2011-05-05		2015-12-16	2017-12-06	57612				"AB040899|AL833192"				21542922																											
HGNC:39060	ERV9-1	endogenous retrovirus group 9 member 1	other	endogenous retrovirus	Approved	11q13.2	11q13.2	pTR2			endogenous retrovirus group 9, member 1			2011-05-05		2015-12-16	2017-12-06	100616497				"X15673|X15675|X57147"				"2475853|16029331|21542922"																											
HGNC:41524	ERV18-1	endogenous retrovirus group 18 member 1	other	endogenous retrovirus	Approved	15q21.3	15q21.3				endogenous retrovirus group 18, member 1			2011-05-05		2015-12-16	2017-12-06	100133791				AK126787				21542922																											
HGNC:14602	ERVE-1	endogenous retrovirus group E member 1	other	endogenous retrovirus	Approved	17q11.2	17q11.2	"HERV-E1|HERVE1|TCONS_00025599"		ERVE1	"endogenous retroviral sequence E, 1|endogenous retrovirus group E, member 1"			2001-06-04	2011-05-05	2015-12-16	2017-12-06	85314	ENSG00000267259			"AB062274|BC037342|FM212572"				"11721880|11401426|21542922"					606601																						
HGNC:39048	ERVE-2	endogenous retrovirus group E member 2	other	endogenous retrovirus	Approved	11q13.2	11q13.2				endogenous retrovirus group E, member 2			2011-05-05		2015-12-16	2015-12-16	100862691				FM212575				"18929381|21542922"																											
HGNC:39049	ERVE-3	endogenous retrovirus group E member 3	other	endogenous retrovirus	Approved	8p23.1	08p23.1				endogenous retrovirus group E, member 3			2011-05-05		2015-12-16	2015-12-16	100862700				FM212573				"18929381|21542922"																											
HGNC:39050	ERVE-4	endogenous retrovirus group E member 4	other	endogenous retrovirus	Approved	6q15	06q15		CT-RCC HERV-E		endogenous retrovirus group E, member 4			2011-05-05		2015-12-16	2015-12-16	100616105				"EU137846|JQ733905"				"18292810|21542922"																											
HGNC:38137	ERVFC1-1	endogenous retrovirus group FC1 member 1, envelope	other	endogenous retrovirus	Approved	7q36.2	07q36.2	"FLJ42291|envF(c)2|TCONS_l2_00027524"	HERV-F(c)2_7q36.2 provirus ancestral Env polyprotein		"endogenous retrovirus group FC1, member 1|endogenous retrovirus group FC1 member 1"	Envelope ERV derived genes	1412	2011-05-05		2017-03-30	2023-03-15	346547				AK124285			P60608	"12970426|21542922"																											
HGNC:39047	ERVFH21-1	endogenous retrovirus group FH21 member 1	other	endogenous retrovirus	Approved	7p21.3	07p21.3	HERV-F(XA34)			endogenous retrovirus group FH21, member 1			2011-05-05		2015-12-16	2015-12-16	100616104				AK023847				"15533715|21542922"																											
HGNC:35201	ERVFRD-2	endogenous retrovirus group FRD member 2	other	endogenous retrovirus	Approved	19q13.41	19q13.41	FLJ45949			endogenous retrovirus group FRD, member 2			2011-05-05		2015-12-16	2020-01-22	107985332				AK127846				21542922																											
